{'sf': 'ɑnnee', 'freq': '16', 'analysis': 'Stem-dat', 'segmentation': 'ɑnne-e', 'ur': 'ɑnne-A', 'predicted_sr': 'ɑnne-A'}
{'sf': 'køpryyn', 'freq': '12', 'analysis': 'Stem-gen', 'segmentation': 'køpry-yn', 'ur': 'køpry-Hn', 'predicted_sr': 'køpry-Yn'}
{'sf': 'jere', 'freq': '12', 'analysis': 'Stem-dat', 'segmentation': 'jer-e', 'ur': 'jer-A', 'predicted_sr': 'jer-A'}
{'sf': 'kuʃun', 'freq': '9', 'analysis': 'Stem-gen', 'segmentation': 'kuʃ-un', 'ur': 'kuʃ-Hn', 'predicted_sr': 'kuʃ-Wn'}
{'sf': 'ojunu', 'freq': '9', 'analysis': 'Stem-p3s', 'segmentation': 'ojun-u', 'ur': 'ojun-H', 'predicted_sr': 'ojun-W'}
{'sf': 'kutuun', 'freq': '8', 'analysis': 'Stem-gen', 'segmentation': 'kutu-un', 'ur': 'kutu-Hn', 'predicted_sr': 'kutu-Wn'}
{'sf': 'ʧizei', 'freq': '8', 'analysis': 'Stem-cv:ye-acc', 'segmentation': 'ʧiz-e-i', 'ur': 'ʧiz-A-H', 'predicted_sr': 'ʧiz-A-I'}
{'sf': 'birʃejler', 'freq': '6', 'analysis': 'Stem-pl', 'segmentation': 'birʃej-ler', 'ur': 'birʃej-lAr', 'predicted_sr': 'birʃej-lAr'}
{'sf': 'ʧekme', 'freq': '6', 'analysis': 'Stem-vn:inf', 'segmentation': 'ʧek-me', 'ur': 'ʧek-mA', 'predicted_sr': 'ʧek-mA'}
{'sf': 'iʧeʤek', 'freq': '6', 'analysis': 'Stem-part:fut', 'segmentation': 'iʧ-eʤek', 'ur': 'iʧ-AʤAk', 'predicted_sr': 'iʧ-AʤAk'}
{'sf': 'olunʤɑ', 'freq': '5', 'analysis': 'Stem-cv:ince', 'segmentation': 'ol-unʤɑ', 'ur': 'ol-HnʤA', 'predicted_sr': 'ol-Wnʤɑ'}
{'sf': 'gene', 'freq': '5', 'analysis': 'Stem-dat', 'segmentation': 'gen-e', 'ur': 'gen-A', 'predicted_sr': 'gen-A'}
{'sf': 'kedileri', 'freq': '5', 'analysis': 'Stem-pl-p3s', 'segmentation': 'kedi-ler-i', 'ur': 'kedi-lAr-H', 'predicted_sr': 'kedi-lAr-I'}
{'sf': 'size', 'freq': '5', 'analysis': 'Stem-dat', 'segmentation': 'siz-e', 'ur': 'siz-A', 'predicted_sr': 'siz-A'}
{'sf': 'vermem', 'freq': '5', 'analysis': 'Stem-vn:inf-p1s', 'segmentation': 'ver-me-m', 'ur': 'ver-mA-m', 'predicted_sr': 'ver-mA-m'}
{'sf': 'deme', 'freq': '5', 'analysis': 'Stem-vn:inf', 'segmentation': 'de-me', 'ur': 'de-mA', 'predicted_sr': 'de-mA'}
{'sf': 'vɑpurun', 'freq': '5', 'analysis': 'Stem-gen', 'segmentation': 'vɑpur-un', 'ur': 'vɑpur-Hn', 'predicted_sr': 'vɑpur-Wn'}
{'sf': 'mɑjmunu', 'freq': '5', 'analysis': 'Stem-p3s', 'segmentation': 'mɑjmun-u', 'ur': 'mɑjmun-H', 'predicted_sr': 'mɑjmun-W'}
{'sf': 'dyʃme', 'freq': '5', 'analysis': 'Stem-vn:inf', 'segmentation': 'dyʃ-me', 'ur': 'dyʃ-mA', 'predicted_sr': 'dyʃ-mA'}
{'sf': 'bɑlonu', 'freq': '4', 'analysis': 'Stem-p3s', 'segmentation': 'bɑlon-u', 'ur': 'bɑlon-H', 'predicted_sr': 'bɑlon-W'}
{'sf': 'ɑnnene', 'freq': '4', 'analysis': 'Stem-p2s-dat', 'segmentation': 'ɑnne-n-e', 'ur': 'ɑnne-n-A', 'predicted_sr': 'ɑnne-n-A'}
{'sf': 'ujkuu', 'freq': '4', 'analysis': 'Stem-p3s', 'segmentation': 'ujku-u', 'ur': 'ujku-H', 'predicted_sr': 'ujku-W'}
{'sf': 'trɑktøryn', 'freq': '4', 'analysis': 'Stem-gen', 'segmentation': 'trɑktør-yn', 'ur': 'trɑktør-Hn', 'predicted_sr': 'trɑktør-Yn'}
{'sf': 'bebekler', 'freq': '4', 'analysis': 'Stem-pl', 'segmentation': 'bebek-ler', 'ur': 'bebek-lAr', 'predicted_sr': 'bebek-lAr'}
{'sf': 'elmde', 'freq': '4', 'analysis': 'Stem-p1s-loc', 'segmentation': 'el-m-de', 'ur': 'el-m-dA', 'predicted_sr': 'el-m-dA'}
{'sf': 'evleri', 'freq': '4', 'analysis': 'Stem-pl-acc', 'segmentation': 'ev-ler-i', 'ur': 'ev-lAr-H', 'predicted_sr': 'ev-lAr-I'}
{'sf': 'bebeklerin', 'freq': '4', 'analysis': 'Stem-pl-gen', 'segmentation': 'bebek-ler-in', 'ur': 'bebek-lAr-Hn', 'predicted_sr': 'bebek-lAr-In'}
{'sf': 'neleri', 'freq': '4', 'analysis': 'Stem-pl-acc', 'segmentation': 'ne-ler-i', 'ur': 'ne-lAr-H', 'predicted_sr': 'ne-lAr-I'}
{'sf': 'nereden', 'freq': '3', 'analysis': 'Stem-abl', 'segmentation': 'nere-den', 'ur': 'nere-dAn', 'predicted_sr': 'nere-dAn'}
{'sf': 'ʃejler', 'freq': '3', 'analysis': 'Stem-pl', 'segmentation': 'ʃej-ler', 'ur': 'ʃej-lAr', 'predicted_sr': 'ʃej-lAr'}
{'sf': 'otobysyn', 'freq': '3', 'analysis': 'Stem-gen', 'segmentation': 'otobys-yn', 'ur': 'otobys-Hn', 'predicted_sr': 'otobys-Yn'}
{'sf': 'senden', 'freq': '3', 'analysis': 'Stem-abl', 'segmentation': 'sen-den', 'ur': 'sen-dAn', 'predicted_sr': 'sen-dAn'}
{'sf': 'ytyy', 'freq': '3', 'analysis': 'Stem-acc', 'segmentation': 'yty-y', 'ur': 'yty-H', 'predicted_sr': 'yty-Y'}
{'sf': 'temizler', 'freq': '3', 'analysis': 'Stem-pl', 'segmentation': 'temiz-ler', 'ur': 'temiz-lAr', 'predicted_sr': 'temiz-lAr'}
{'sf': 'gørynʤe', 'freq': '3', 'analysis': 'Stem-cv:ince', 'segmentation': 'gør-ynʤe', 'ur': 'gør-HnʤA', 'predicted_sr': 'gør-YnʤA'}
{'sf': 'bebekleri', 'freq': '3', 'analysis': 'Stem-pl-p3s', 'segmentation': 'bebek-ler-i', 'ur': 'bebek-lAr-H', 'predicted_sr': 'bebek-lAr-I'}
{'sf': 'motoru', 'freq': '3', 'analysis': 'Stem-p3s', 'segmentation': 'motor-u', 'ur': 'motor-H', 'predicted_sr': 'motor-W'}
{'sf': 'vɑpuru', 'freq': '3', 'analysis': 'Stem-p3s', 'segmentation': 'vɑpur-u', 'ur': 'vɑpur-H', 'predicted_sr': 'vɑpur-W'}
{'sf': 'sɑɑtin', 'freq': '3', 'analysis': 'Stem-gen', 'segmentation': 'sɑɑt-in', 'ur': 'sɑɑt-Hn', 'predicted_sr': 'sɑɑt-ɯn'}
{'sf': 'tɑmire', 'freq': '3', 'analysis': 'Stem-dat', 'segmentation': 'tɑmir-e', 'ur': 'tɑmir-A', 'predicted_sr': 'tɑmir-A'}
{'sf': 'misketleri', 'freq': '3', 'analysis': 'Stem-pl-p3s', 'segmentation': 'misket-ler-i', 'ur': 'misket-lAr-H', 'predicted_sr': 'misket-lAr-I'}
{'sf': 'syrme', 'freq': '3', 'analysis': 'Stem-vn:inf', 'segmentation': 'syr-me', 'ur': 'syr-mA', 'predicted_sr': 'syr-mA'}
